2195410 total number of matches in the dataset

# Aatrox
                  win%   matches
    Trundle      52.93%   6424
    Cassiopeia   52.59%    559
    Orianna      52.44%    675
    Briar        52.41%   4625
    Soraka       52.40%   3708
    Sett         52.31%   8864
    Yorick       52.17%   5455
    Nami         52.06%   6835
    KogMaw       52.03%   2020
    Ivern        52.02%    988
    Galio        51.92%   2001
    Warwick      51.77%   9340
    Olaf         51.75%   1511
    Urgot        51.75%   2632
    Amumu        51.75%   4926
    Sivir        51.64%   5314
    Lulu         51.48%   8744
    Heimerdinger 51.39%   1903
    Xerath       51.37%   5311
    Nilah        51.34%   1866
    Lillia       51.34%   3292
    Zilean       51.22%   1878
    Syndra       51.22%    736
    MonkeyKing   51.21%   4966
    Kayle        51.19%   2731
    Chogath      51.11%   3933
    Nocturne     51.09%   9056
    Viktor       51.08%   1153
    Shyvana      51.08%   1985
    Janna        51.05%   2137
    Annie        50.94%    799
    Vayne        50.92%   8142
    Morgana      50.88%   7687
    Volibear     50.87%   7429
    Quinn        50.79%   1843
    Jinx         50.78%  16567
    Braum        50.72%   5116
    Teemo        50.66%   6518
    RekSai       50.63%    875
    Poppy        50.62%   4443
    Nasus        50.60%   5079
    DrMundo      50.59%   5883
    Mordekaiser  50.58%   6690
    MasterYi     50.57%   8175
    Fiddlesticks 50.56%   2767
    Zyra         50.55%   4574
    MissFortune  50.55%  15317
    Taric        50.54%   1211
    Ornn         50.47%   2758
    Velkoz       50.40%   2899
    Singed       50.32%   1393
    Lux          50.23%  13614
    XinZhao      50.22%   6063
    Fiora        50.19%   2869
    Smolder      50.19%   8095
    Xayah        50.16%   4669
    Irelia       50.14%   4230
    Elise        50.14%   2571
    Garen        50.10%   6673
    Aphelios     50.07%   4352
    Talon        50.00%   3026
    Graves       49.99%   7938
    Naafiri      49.99%   3795
    JarvanIV     49.93%   5626
    Brand        49.89%   4520
    Kayn         49.88%  10014
    Tryndamere   49.85%   3013
    Shen         49.84%   4729
    Renekton     49.81%   4911
    Sion         49.80%   4219
    Tristana     49.77%   7466
    Malphite     49.75%   6551
    Rakan        49.74%   3510
    Jhin         49.74%  17742
    Alistar      49.71%   4140
    TahmKench    49.70%   4899
    Kled         49.70%   1165
    Evelynn      49.69%   1948
    Ahri         49.68%   1578
    Zoe          49.68%    942
    Lissandra    49.64%    560
    Akali        49.62%  195044
    Caitlyn      49.62%  18872
    Illaoi       49.59%   3196
    Senna        49.56%   8279
    Jax          49.53%   7317
    Swain        49.48%   4770
    Malzahar     49.44%   1438
    Viego        49.44%  12509
    Ryze         49.39%    816
    Yasuo        49.38%   5731
    Darius       49.34%   8832
    Karma        49.30%   6201
    Ziggs        49.29%   1698
    Leona        49.25%   7299
    Seraphine    49.24%   4864
    Aatrox       49.22%   7670
    Yunara       49.18%   2755
    Maokai       49.17%   3551
    Hecarim      49.16%   3021
    Khazix       49.11%   6135
    Shaco        49.09%   8112
    Zeri         49.08%   3105
    Twitch       49.07%   4324
    Ashe         48.92%  11899
    Pantheon     48.89%  10370
    Bard         48.88%   2367
    Veigar       48.86%   2018
    Camille      48.85%   2471
    Rammus       48.84%   2459
    Taliyah      48.79%    742
    Renata       48.78%   1103
    Lucian       48.74%  10150
    Kindred      48.73%   2998
    Gnar         48.62%   2569
    Thresh       48.61%  10690
    AurelionSol  48.60%    644
    Hwei         48.59%   1595
    LeeSin       48.55%  15335
    Anivia       48.55%    653
    Kaisa        48.54%  14770
    Ezreal       48.52%  16631
    Diana        48.51%   4917
    Corki        48.46%   2144
    Udyr         48.46%   2402
    Samira       48.39%   5257
    Leblanc      48.30%   1526
    Akshan       48.25%    744
    Ambessa      48.25%   3430
    Ekko         48.24%   3856
    Nautilus     48.24%   9406
    Karthus      48.19%   1299
    Mel          48.16%   4896
    Draven       48.10%   3509
    TwistedFate  48.08%   1250
    Gwen         48.07%   3112
    Rell         48.02%   3507
    Nunu         48.00%   2531
    Gangplank    47.99%   2690
    Zac          47.92%   3658
    Yone         47.87%   7597
    Gragas       47.79%   2829
    Yuumi        47.78%   5391
    Sejuani      47.73%   3040
    Blitzcrank   47.71%   6252
    Azir         47.70%    457
    Sylas        47.68%   4056
    Vi           47.66%   6141
    Vladimir     47.66%   1645
    Neeko        47.61%   2997
    Belveth      47.48%   1666
    Jayce        47.43%   3983
    Skarner      47.23%   1550
    Kennen       47.19%   1301
    Zed          47.08%   5792
    Riven        46.98%   2980
    Vex          46.95%    688
    Pyke         46.90%   6723
    Kalista      46.88%   1568
    Varus        46.48%   6600
    Aurora       46.35%   1040
    Nidalee      46.18%   2577
    Rumble       46.12%   1329
    KSante       45.35%   3105
    Qiyana       45.32%    876
    Rengar       44.74%   2150
    Fizz         44.17%    806
    Katarina     43.78%    852
    Kassadin     40.25%    241


# Akshan
                  win%   matches
    Renata       55.38%    316
    Fiddlesticks 55.00%   1249
    Zyra         54.09%   1453
    Heimerdinger 53.97%    667
    Ryze         53.96%    417
    Briar        53.70%   1028
    Shyvana      53.42%    687
    Taric        53.27%    321
    MonkeyKing   53.14%   1003
    Mordekaiser  53.04%   2749
    Velkoz       52.91%   1100
    Zeri         52.85%    685
    Sona         52.84%    668
    Kalista      52.80%    286
    Lulu         52.64%   1968
    Veigar       52.59%    734
    Brand        52.56%   1562
    Cassiopeia   52.52%    278
    Taliyah      52.47%    324
    Amumu        52.44%   1619
    Malzahar     52.33%    472
    Milio        52.31%   1189
    Teemo        52.29%   2157
    Ziggs        52.26%    930
    Braum        52.25%   1198
    Chogath      52.18%   1286
    Sett         52.07%   1928
    KogMaw       52.06%    509
    Vladimir     52.01%    871
    Viktor       51.93%    389
    Gnar         51.80%    610
    Sivir        51.77%   1242
    Vayne        51.74%   1902
    Trundle      51.64%   1375
    Kayle        51.58%   1171
    Leblanc      51.57%    351
    Lillia       51.56%   1662
    Ashe         51.55%   2388
    JarvanIV     51.41%   1138
    Smolder      51.39%   1652
    Xerath       51.33%   1354
    Galio        51.28%    470
    Poppy        51.25%    882
    MasterYi     51.25%   1524
    Olaf         51.09%    366
    DrMundo      51.04%   1734
    Karthus      50.94%    799
    XinZhao      50.91%    994
    Diana        50.88%   2331
    Zed          50.87%    865
    Zilean       50.86%    525
    Kennen       50.83%    665
    Gwen         50.76%   1649
    Alistar      50.73%    891
    Senna        50.71%   1822
    Ekko         50.67%   1867
    Anivia       50.67%    225
    Soraka       50.60%   1002
    Yunara       50.56%    712
    Kayn         50.53%   2157
    Annie        50.52%    194
    Belveth      50.41%    369
    MissFortune  50.36%   3169
    Elise        50.32%   1105
    Shen         50.30%   1175
    Nami         50.26%   2093
    Leona        50.19%   1576
    Volibear     50.19%   2387
    Kled         50.18%    285
    Malphite     50.12%   1666
    Jax          50.03%   1543
    Morgana      50.00%   1996
    Thresh       49.98%   2253
    Gragas       49.92%   1328
    Nocturne     49.91%   1749
    Aphelios     49.90%   1026
    Nilah        49.90%    477
    Warwick      49.88%   2079
    Urgot        49.80%    741
    Janna        49.77%    663
    Fizz         49.77%    215
    Akshan       49.76%  47367
    Graves       49.66%   1021
    Yorick       49.64%   1245
    Illaoi       49.56%    686
