2195410 total number of matches in the dataset

# Aatrox
                  win%   matches
    Hwei         50.53%   1997
    Rumble       50.46%   1082
    Zyra         50.46%    545
    XinZhao      50.42%   2134
    Ekko         50.35%   3112
    Kaisa        50.23%   8839
    Darius       50.22%   3692
    Yasuo        50.21%   5678
    Sylas        50.19%   4728
    LeeSin       50.16%   5393
    Maokai       50.10%    483
    Gangplank    50.10%   1453
    Ahri         50.06%   3915
    Shaco        50.02%   2377
    Rakan        50.00%     22
    Quinn        49.94%    905
    Shyvana      49.94%    879
    Jax          49.93%   3014
    Tristana     49.89%   3484
    Zac          49.82%   1377
    Gragas       49.77%   1764
    Vladimir     49.74%   2133
    Kled         49.73%    563
    Evelynn      49.69%    972
    Graves       49.61%   2850
    Xerath       49.53%   1581
    Hecarim      49.52%   1242
    Gnar         49.49%   1186
    Talon        49.45%   1808
    Udyr         49.39%    988
    Kindred      49.37%   1270
    Xayah        49.32%   1547
    Jhin         49.32%   5627
    Kassadin     49.29%    637
    Khazix       49.24%   2242
    Sejuani      49.23%    969
    Ezreal       49.18%   4469
    Ambessa      49.18%   1645
    Orianna      49.17%   1934
    Rammus       49.13%    751
    Tryndamere   49.12%   1362
    TwistedFate  49.05%   1888
    Ashe         49.00%   3247
    Jayce        48.97%   2128
    Azir         48.92%   1155
    Leona        48.84%     43
    Sion         48.78%   1765
    Kalista      48.78%    980
    Aphelios     48.73%   1765
    Riven        48.72%   1482
    Yunara       48.71%   1121
    Varus        48.68%   2605
    Yone         48.64%   4918
    Vi           48.63%   2192
    Nidalee      48.59%   1457
    Corki        48.56%   1320
    Akshan       48.44%    799
    Elise        48.42%   1014
    Nautilus     48.42%     95
    Poppy        48.38%    740
    Rengar       48.29%    905
    Olaf         48.14%    698
    Caitlyn      48.13%   5221
    Akali        48.02%   3507
    Qiyana       47.99%    773
    Zed          47.88%   4018
    Draven       47.78%   1666
    Lucian       47.77%   3010
    Camille      47.60%   1061
    KSante       47.58%   1341
    Katarina     47.37%   2282
    Milio        46.88%     32
    Janna        45.83%     24
    Sona         45.45%     22
    Skarner      43.81%    557
    Nami         43.48%     46
    Bard         42.86%     28
    Renata       41.67%     12
    Thresh       40.98%     61
    Lulu         38.10%     84
    Pyke         38.10%     63
    Blitzcrank   37.93%     29
    Yuumi        25.58%     43
    Braum        15.79%     19


# Renata
                  win%   matches
    Seraphine    58.33%     60
    Zilean       58.14%     43
    Nilah        57.68%    293
    MonkeyKing   56.53%    658
    Taric        55.56%      9
    Akshan       55.38%    316
    Kassadin     55.08%    256
    Rammus       54.29%    326
    AurelionSol  53.80%    342
    Irelia       53.77%    822
    Singed       53.33%    270
    Vex          53.28%    488
    Poppy        52.86%    297
    MissFortune  52.85%   1669
    Syndra       52.83%    672
    Trundle      52.72%    865
    Twitch       52.68%    653
    Samira       52.68%    784
    Anivia       52.67%    281
    Vayne        52.65%   1265
    Nasus        52.55%    725
    Morgana      52.51%    179
    Qiyana       52.40%    271
    Viego        52.17%   1478
    XinZhao      52.15%    675
    TahmKench    52.13%    282
    Maokai       52.12%    236
    MasterYi     52.09%   1079
    Zac          51.99%    502
    Vi           51.94%    772
    JarvanIV     51.89%    792
    Ryze         51.89%    449
    Zoe          51.87%    374
    DrMundo      51.83%    903
    Warwick      51.79%   1201
    Urgot        51.74%    402
    Tryndamere   51.66%    513
    Heimerdinger 51.53%    295
    Kayle        51.47%    579
    Draven       51.42%    704
    Diana        51.41%   1346
    Volibear     51.39%   1226
    Xerath       51.35%    520
    Camille      51.27%    353
    Aphelios     51.27%    749
    Veigar       51.26%    792
    Gwen         51.24%    644
    Sett         51.19%   1303
    Shen         51.06%    615
    Smolder      51.02%   1229
    Gragas       50.96%    571
    Malphite     50.95%    948
    Nocturne     50.92%   1145
    Fiddlesticks 50.90%    332
    Aatrox       50.78%   1148
    Velkoz       50.77%    195
    Kennen       50.73%    343
    Zyra         50.72%    138
    Jinx         50.71%   2404
    Ivern        50.70%    142
    Teemo        50.66%    910
    Illaoi       50.58%    429
    Lux          50.58%    777
    Riven        50.58%    520
    Mordekaiser  50.56%   1157
    Ahri         50.54%   1294
    Fizz         50.49%    618
    KogMaw       50.44%    341
    RekSai       50.41%    123
    Shaco        50.36%    824
    Lillia       50.25%    593
    Viktor       50.23%    884
    Karthus      50.21%    243
    Elise        50.15%    331
    Ashe         50.06%   1638
    Blitzcrank   50.00%      8
    Braum        50.00%      4
    Galio        50.00%    710
    Janna        50.00%      4
    Amumu        49.86%    690
    Skarner      49.78%    225
    Swain        49.70%    338
    Yunara       49.70%    503
    Renata       49.65%  26420
    Ekko         49.62%   1046
    Renekton     49.61%    760
    Malzahar     49.55%    995
    Ziggs        49.47%    285
    Senna        49.42%    342
    Yorick       49.38%    804
    Olaf         49.33%    225
    Darius       49.29%   1197
    Zeri         49.22%    386
    Udyr         49.18%    368
    Kayn         49.11%   1299
    Briar        49.04%    626
    Kaisa        49.00%   1998
    Sylas        48.99%   1533
    Ornn         48.98%    441
    Kindred      48.96%    384
    Leblanc      48.93%    605
    Naafiri      48.87%    577
    Vladimir     48.85%    741
    Neeko        48.82%    127
    Akali        48.78%   1103
    Taliyah      48.77%    285
    Gnar         48.76%    443
    Varus        48.72%   1406
    Yone         48.72%   1601
    Belveth      48.72%    234
    Evelynn      48.68%    380
    Garen        48.63%   1061
    Mel          48.48%    755
    Jhin         48.43%   1879
    Talon        48.21%    558
    Cassiopeia   48.19%    249
    Katarina     47.99%    771
    Ezreal       47.95%   1562
    Tristana     47.94%    924
    Khazix       47.80%    820
    Nidalee      47.78%    360
    LeeSin       47.77%   1725
    Pantheon     47.72%    922
    Jax          47.71%   1094
    Caitlyn      47.66%   2077
    KSante       47.66%    449
    Kled         47.60%    208
    Karma        47.52%    101
    Corki        47.37%    418
    Aurora       47.36%    568
    TwistedFate  47.24%    652
    Sivir        47.16%    723
    Sion         47.16%    617
    Yasuo        47.14%   1574
    Zed          47.13%   1326
    Kalista      47.13%   1413
    Xayah        47.07%    631
    Quinn        46.89%    305
    Orianna      46.80%    594
    Chogath      46.78%    729
    Fiora        46.72%    411
    Brand        46.71%    304
    Pyke         46.67%     15
    Lissandra    46.63%    371
    Jayce        46.61%    620
    Rengar       46.49%    342
    Hwei         46.37%    593
    Hecarim      46.21%    422
    Leona        46.15%     13
    Sejuani      45.89%    414
    Shyvana      45.82%    299
    Ambessa      45.74%    551
    Graves       45.63%    938
    Rumble       45.54%    303
    Lucian       45.35%    935
    Nunu         44.59%    370
    Nautilus     44.44%     45
    Annie        44.34%    327
    Azir         42.82%    383
    Gangplank    42.80%    472
    Rell         41.67%     12
    Soraka       41.18%     17
    Lulu         37.78%     90
    Rakan        30.00%     10
    Nami         25.00%      4
    Sona         22.22%      9
    Yuumi        22.22%     18
    Alistar      21.05%     19
    Milio        10.00%     10
    Bard         00.00%      8
    Thresh       00.00%     12


# Renekton
                  win%   matches
    Nilah        55.58%   1200
    Quinn        55.42%    424
    Gnar         55.29%    170
    Olaf         54.81%    239
    Fiora        53.94%    165
    Taric        53.72%    685
    Zilean       53.18%   1352
    DrMundo      52.89%   1019
    Teemo        52.88%   2358
    Heimerdinger 52.88%    834
    Trundle      52.72%   2350
    Sivir        52.60%   3690
    Morgana      52.60%   5287
    Warwick      52.52%   4090
    Nocturne     52.46%   5303
    Malzahar     52.44%   4554
    Kennen       52.43%    555
    Zyra         52.43%   3418
    Sion         52.38%    800
    Xerath       52.37%   6236
    Sett         52.36%    890
    Rell         52.33%   2213
    Kayle        52.25%    712
    Ornn         52.14%    234
    AurelionSol  52.05%   1781
    Sona         51.99%   1531
    Kled         51.97%    127
    XinZhao      51.95%   3411
    Shyvana      51.93%   1450
    Ryze         51.92%   1982
    Mordekaiser  51.82%   1235
    Khazix       51.82%   4377
    Volibear     51.76%   2933
    Yorick       51.72%    872
    JarvanIV     51.72%   3842
    Aatrox       51.62%    554
    Amumu        51.61%   3104
    KogMaw       51.60%   1347
    Rammus       51.58%   1361
    Jax          51.57%   1621
    Kassadin     51.52%   1054
    Bard         51.50%   1668
    Diana        51.48%   6511
    Vex          51.47%   2339
    Lux          51.47%  11796
    Lillia       51.43%   3084
    Milio        51.40%   2926
    Swain        51.37%   3650
    Lissandra    51.37%   1865
    Brand        51.36%   4202
    Leona        51.33%   4321
    Braum        51.33%   3382
    Singed       51.33%    339
    Riven        51.30%    269
    Jinx         51.27%  10916
    Annie        51.27%   1925
    Nami         51.26%   4813
    Ekko         51.24%   5246
    Hwei         51.24%   3392
    MonkeyKing   51.23%   2557
    MissFortune  51.22%   9068
    Vladimir     51.19%   2102
    Briar        51.18%   2415
    Chogath      51.12%   1295
    Nunu         51.07%   1778
    Smolder      51.05%   6341
    Anivia       51.02%   1423
    Vayne        50.96%   4388
    Ivern        50.92%    654
    Irelia       50.88%   1655
    Sejuani      50.80%   1872
    Veigar       50.79%   4353
    Rakan        50.75%   2333
    Gragas       50.75%   1543
    Samira       50.72%   3188
    Janna        50.71%   1481
    MasterYi     50.70%   4905
    Alistar      50.66%   2657
    Karthus      50.65%   1457
    Karma        50.61%   4392
    Jhin         50.61%  12006
    Poppy        50.50%   2285
    Thresh       50.50%   7317
    Maokai       50.47%   1698
    Ahri         50.40%   6449
    Galio        50.38%   3567
    Seraphine    50.36%   3078
    Zoe          50.34%   2080
    Graves       50.32%   5902
    Soraka       50.28%   2359
    Renekton     50.26%  131266
    Fizz         50.26%   2873
    Lucian       50.25%   7232
    Darius       50.23%   1324
    Syndra       50.20%   2785
    TahmKench    50.18%   2232
    Naafiri      50.17%   3018
    Xayah        50.16%   3114
    Aurora       50.16%   2251
    Orianna      50.15%   2746
    Vi           50.12%   3681
    Udyr         50.12%   1299
    Rumble       50.09%    561
    Viktor       50.05%   4765
    Nasus        50.05%    985
    Blitzcrank   50.03%   3874
    Elise        50.00%   2570
    TwistedFate  50.00%   3672
    Senna        49.98%   5722
    Lulu         49.96%   5594
    Malphite     49.94%   2625
    Corki        49.92%   1773
    Velkoz       49.86%   2766
    Aphelios     49.83%   2972
    Akali        49.81%   4911
    Draven       49.79%   2171
    Ziggs        49.77%   2168
    Ashe         49.76%   7098
    Viego        49.72%   7074
    Sylas        49.66%   8614
    Renata       49.61%    760
    LeeSin       49.57%   9902
    Leblanc      49.43%   3955
    Caitlyn      49.38%  12368
    Gwen         49.35%   1388
    Kindred      49.21%   1902
    Pyke         49.21%   4341
    Kaisa        49.19%  11445
    Shaco        49.16%   5289
    Zeri         49.13%   2125
    Yuumi        49.12%   3634
    Talon        49.06%   2452
    Kayn         49.05%   5235
    Cassiopeia   48.99%    994
    Ezreal       48.98%  11580
    Pantheon     48.96%   5746
    Fiddlesticks 48.93%   2291
    Evelynn      48.86%   1715
    Tryndamere   48.85%    563
    Shen         48.79%   1074
    Neeko        48.79%   2394
    Yasuo        48.64%   5960
    Zac          48.62%   2141
    Twitch       48.57%   2829
    Camille      48.52%    406
    Hecarim      48.40%   1901
    Kalista      48.38%   1050
    Varus        48.37%   4635
    Nidalee      48.33%   3925
    Yone         48.32%   4638
    Katarina     48.31%   3225
    Mel          48.29%   6115
    Nautilus     48.12%   5981
    Yunara       48.07%   2043
    KSante       47.98%    223
    Taliyah      47.82%   1767
    RekSai       47.81%    548
    Akshan       47.61%   1046
    Belveth      47.57%    967
    Tristana     47.54%   5082
    Jayce        47.35%    849
    Gangplank    47.06%    323
    Garen        46.83%    946
    Zed          46.70%   6463
    Urgot        46.63%    193
    Illaoi       46.45%    211
    Skarner      46.38%    774
    Qiyana       45.90%   1109
    Azir         45.31%   1854
    Rengar       45.11%   1186
    Ambessa      43.43%    449


# Rengar
                  win%   matches
    RekSai       60.00%     45
    Hecarim      52.83%    106
    Zilean       51.82%    577
    Nocturne     51.63%    337
    Bard         51.28%    743
    Sona         51.10%    728
    KogMaw       49.91%    551
    Warwick      49.87%    746
    Nilah        49.72%    535
    Anivia       49.60%    621
    Lillia       49.57%    230
    Vi           49.56%    228
    Kayle        49.53%   1280
    AurelionSol  49.16%    777
    Taliyah      49.09%    497
    XinZhao      49.08%    273
    Alistar      49.05%    946
    Kennen       49.02%    610
    Briar        48.95%    237
    Ryze         48.94%    801
    Milio        48.88%   1344
    Mordekaiser  48.74%   2097
    Ivern        48.70%    614
    Diana        48.67%   1352
    Khazix       48.47%    229
    Malzahar     48.31%   1979
    Rell         48.29%    905
    Ekko         48.27%   1125
    Janna        48.21%    784
    Fiddlesticks 48.14%    403
    Heimerdinger 48.12%    690
    Amumu        48.06%    310
    Leblanc      47.99%   1390
    Zyra         47.96%   1176
    Lulu         47.91%   2196
    Xerath       47.89%   2065
    Syndra       47.69%   1321
    Kled         47.66%    321
    Braum        47.63%   1285
    Brand        47.61%   1487
    Poppy        47.34%    752
    Galio        47.28%   1510
    Nami         47.27%   2215
    Ornn         47.24%    760
    Karma        47.21%   1790
    Singed       47.18%    443
    Velkoz       47.18%   1257
    Zac          47.10%    397
    Hwei         47.09%   1393
    Yorick       46.98%   1175
    Vladimir     46.96%   1512
    Cassiopeia   46.89%    563
    Ziggs        46.80%    844
    Thresh       46.79%   2691
    Aurora       46.78%   1041
    Zeri         46.72%    809
    Teemo        46.72%   1693
    Shen         46.69%   1238
    Orianna      46.68%   1114
    Sejuani      46.67%    210
    Soraka       46.66%   1166
    Quinn        46.65%    538
    Gragas       46.63%    920
    Nidalee      46.58%    292
    Taric        46.56%    305
    Graves       46.55%    275
    Volibear     46.53%   1139
    Urgot        46.53%    720
    Renata       46.49%    342
    Chogath      46.43%   1443
    Senna        46.40%   2239
    Swain        46.34%   1653
    Rakan        46.33%    872
    Sivir        46.30%   1391
    Annie        46.25%    774
    Draven       46.22%   1019
    Lucian       46.20%   2485
    Riven        46.16%    912
    Olaf         46.15%    364
    Fizz         46.14%   1270
    Viego        46.03%    491
    Viktor       46.02%   1721
    Illaoi       45.99%    811
    Aphelios     45.99%   1222
    Twitch       45.98%   1392
    Vayne        45.97%   2206
    Sion         45.95%   1160
    Leona        45.93%   1681
    Smolder      45.91%   2418
    KSante       45.89%    669
    Gwen         45.73%    831
    Udyr         45.63%    252
    Rengar       45.60%  50410
    Morgana      45.52%   2085
    Corki        45.51%    690
    TahmKench    45.48%   1328
    Ashe         45.41%   2605
    Garen        45.40%   1718
    Jinx         45.40%   4119
    MissFortune  45.36%   3446
    Aatrox       45.33%   1745
    Lux          45.24%   4436
    Fiora        45.23%    734
    Ahri         45.22%   2417
    Camille      45.17%    662
    Lissandra    45.16%    806
    Renekton     45.11%   1186
    Vex          45.09%    987
    Veigar       45.02%   1879
    Malphite     45.01%   1973
    Sylas        45.00%   2758
    Zoe          44.96%    952
    Jhin         44.93%   4445
    Belveth      44.87%     78
    Sett         44.82%   2057
    Kassadin     44.75%    505
    Akali        44.74%   2150
    Nautilus     44.74%   2166
    Nunu         44.69%    179
    LeeSin       44.52%    757
    Trundle      44.42%    977
    Talon        44.40%    545
    Xayah        44.39%   1097
    Gangplank    44.36%    665
    Samira       44.34%   1378
    Kayn         44.33%    388
    Caitlyn      44.33%   4726
    Varus        44.24%   1745
    Naafiri      44.20%    500
    Kaisa        44.19%   3910
    DrMundo      44.10%   1567
    Neeko        44.09%    846
    Akshan       44.07%    540
    Shaco        44.06%    783
    Tristana     44.04%   2048
    Maokai       44.03%    695
    Ezreal       43.99%   3728
    Irelia       43.99%   1398
    TwistedFate  43.80%   1242
    Yasuo        43.74%   3091
    Darius       43.65%   1899
    Zed          43.60%   1913
    MonkeyKing   43.58%    397
    Pantheon     43.56%   1738
    Azir         43.52%    710
    Ambessa      43.36%    738
    Yuumi        43.26%   1373
    Tryndamere   43.22%    819
    Seraphine    43.18%   1232
    Katarina     43.02%   1590
    Jayce        42.72%    920
    Mel          42.66%   2520
    Yunara       42.65%    837
    Kalista      42.56%    390
    Jax          42.56%   1384
    Pyke         42.45%   1517
    Karthus      42.40%    217
    Nasus        42.39%   1241
    Gnar         42.27%    686
    Elise        42.13%    375
    JarvanIV     42.09%    316
    Shyvana      41.96%    112
    Yone         41.65%   2646
    MasterYi     41.19%    335
    Skarner      40.57%    106
    Evelynn      40.00%    125
    Blitzcrank   39.63%   1345
    Qiyana       39.52%    415
    Rammus       39.29%    140
    Rumble       38.15%    422
    Kindred      36.43%    129


# Riven
                  win%   matches
    DrMundo      54.03%    670
    Ornn         53.94%    165
    Belveth      53.68%    585
    Aatrox       53.37%    341
    KogMaw       52.97%    910
    Ivern        52.83%    547
    Lillia       52.75%   1890
    Karthus      52.67%    900
    Sona         52.48%   1109
    Bard         52.38%   1094
    Nocturne     52.35%   3207
    Taliyah      52.28%    985
    Taric        52.15%    535
    Shyvana      52.13%    890
    Anivia       52.12%    942
    Amumu        52.02%   2084
    Vladimir     51.96%   1428
    Nilah        51.91%    784
    Naafiri      51.86%   1637
    Viktor       51.75%   2794
    Annie        51.56%   1121
    Zilean       51.53%    945
    Malzahar     51.48%   2737
    Xerath       51.47%   3342
    Diana        51.40%   4208
    Renekton     51.30%    269
    Zyra         51.27%   2134
    Sett         51.23%    609
    Kayle        51.21%    494
    Kled         51.16%     86
    Milio        51.15%   1994
    Ziggs        51.14%   1226
    Velkoz       51.14%   1803
    JarvanIV     51.10%   2276
    Elise        50.82%   1460
    Ryze         50.77%   1111
    Nami         50.74%   3435
    Swain        50.72%   2283
    Yuumi        50.59%   2194
    Renata       50.58%    520
    Karma        50.57%   2792
    Nunu         50.57%   1315
    Soraka       50.50%   1711
    Lulu         50.49%   3862
    MonkeyKing   50.42%   1551
    Janna        50.41%   1111
    Darius       50.40%    881
    Rammus       50.36%    824
    Senna        50.30%   3296
    Draven       50.30%   1497
    Rakan        50.15%   1372
    Xayah        50.14%   1745
    Fiddlesticks 50.13%   1492
    Kennen       50.13%    375
    Hecarim      50.08%   1282
    Ambessa      50.00%    342
    Jayce        50.00%    442
    Lissandra    50.00%   1208
    Kaisa        49.97%   6592
    Sivir        49.88%   2065
    Ekko         49.85%   3310
    Nasus        49.83%    576
    Jinx         49.81%   6713
    Heimerdinger 49.79%    472
    Zac          49.76%   1431
    Vi           49.71%   2231
    Nidalee      49.69%   1465
    Sejuani      49.68%   1234
    Warwick      49.64%   2657
    Katarina     49.63%   2136
    Morgana      49.60%   3127
    Lux          49.51%   6889
    Trundle      49.50%   1291
    Talon        49.50%   1586
    Mordekaiser  49.42%    777
    Smolder      49.38%   3574
    Twitch       49.32%   1979
    TwistedFate  49.31%   1961
    Teemo        49.27%   1366
    Briar        49.27%   1500
    Leona        49.25%   2684
    Hwei         49.25%   2262
    Singed       49.24%    197
    Thresh       49.23%   4455
    Jax          49.21%   1010
    Kayn         49.19%   3436
    Riven        49.14%  79937
    Leblanc      49.14%   2320
    RekSai       49.12%    342
    Alistar      49.12%   1651
    Maokai       49.10%   1108
    Ashe         49.09%   4339
    Ahri         49.08%   3863
    Braum        49.06%   2069
    Gwen         49.04%    830
    Vayne        49.00%   2996
    Lucian       48.93%   4259
    Fizz         48.92%   1813
    Orianna      48.90%   1687
    MissFortune  48.87%   5521
    Syndra       48.87%   1942
    XinZhao      48.87%   2030
    Vex          48.86%   1447
    Galio        48.85%   2297
    TahmKench    48.85%   1429
    Seraphine    48.83%   1970
    Jhin         48.83%   7137
    Sylas        48.81%   4751
    Graves       48.80%   2922
    Gangplank    48.79%    207
    Khazix       48.73%   2483
    Rell         48.72%   1482
    Pantheon     48.70%   3234
    Yorick       48.63%    549
    Caitlyn      48.59%   7501
    MasterYi     48.41%   2803
    Chogath      48.39%    901
    Tristana     48.36%   3056
    Zoe          48.32%   1310
    Veigar       48.21%   2537
    Viego        48.19%   4320
    AurelionSol  48.18%   1152
    Volibear     48.09%   1942
    Cassiopeia   48.04%    639
    Aphelios     48.03%   1780
    Evelynn      47.99%   1069
    Neeko        47.98%   1438
    Yasuo        47.95%   4050
    Shaco        47.85%   3260
    Poppy        47.68%   1382
    Brand        47.66%   2415
    Irelia       47.61%   1132
    Samira       47.59%   2034
    Kassadin     47.49%    718
    Malphite     47.49%   1413
    Aurora       47.37%   1330
    Nautilus     47.34%   3532
    Varus        47.27%   2642
    Blitzcrank   47.26%   2209
    Pyke         47.12%   2553
    Mel          47.00%   3619
    Akali        46.98%   2980
    Kindred      46.96%   1186
    Camille      46.79%    218
    LeeSin       46.74%   5284
    Gnar         46.61%    118
    Garen        46.59%    631
    Sion         46.57%    554
    Qiyana       46.57%    758
    Ezreal       46.53%   6692
    Zeri         46.48%   1207
    Corki        46.47%   1132
    Fiora        46.36%    110
    Gragas       46.30%    987
    Tryndamere   46.20%    329
    Quinn        46.18%    288
    Rengar       46.16%    912
    Zed          46.01%   3814
    Shen         45.92%    723
    Olaf         45.81%    179
    Azir         45.44%   1041
    Yone         45.43%   2681
    Skarner      45.42%    612
    Udyr         45.29%    923
    Kalista      45.28%    614
    Akshan       45.26%    685
    Yunara       44.31%   1090
    Illaoi       43.45%    168
    Rumble       42.62%    305
    KSante       42.45%    139
    Urgot        40.65%    155


# Rumble
                  win%   matches
    DrMundo      53.45%    608
    Fiora        52.40%    229
    Quinn        51.57%    351
    KogMaw       51.15%    434
    Yorick       50.86%    582
    Aphelios     50.74%   1086
    Naafiri      50.68%   1320
    Milio        50.66%    906
    Zilean       50.51%    487
    Sett         50.48%    830
    Rell         50.46%   1082
    Nilah        50.43%    462
    Warwick      50.37%   1622
    Briar        50.37%    955
    Renekton     50.09%    561
    Bard         50.09%    571
    Illaoi       50.00%    276
    Rammus       50.00%    532
    Sona         50.00%    514
    Shyvana      49.88%    405
    Gwen         49.86%    353
    Trundle      49.84%    961
    Urgot        49.76%    205
    Ekko         49.66%   1176
    Nami         49.63%   1628
    Irelia       49.62%   1453
    Vayne        49.59%   1700
    MonkeyKing   49.47%   1142
    Amumu        49.37%   1035
    Kled         49.22%    128
    Garen        49.21%    823
    Vladimir     49.17%    541
    Soraka       49.14%    877
    Leona        49.14%   1968
    Tryndamere   49.10%    446
    Braum        49.09%   1367
    Nocturne     48.97%   2193
    Fiddlesticks 48.97%    533
    Cassiopeia   48.86%    307
    Alistar      48.67%   1243
    Galio        48.62%   1306
    Volibear     48.61%   1113
    Senna        48.60%   2070
    Chogath      48.57%    630
    Sivir        48.56%   1353
    MasterYi     48.56%   1940
    Nasus        48.55%    688
    Thresh       48.50%   3072
    Zac          48.47%    784
    Pantheon     48.44%   2719
    Syndra       48.42%    760
    Heimerdinger 48.36%    275
    Brand        48.35%   1179
    Taliyah      48.31%    385
    Blitzcrank   48.30%   1619
    Khazix       48.25%   1604
    Gangplank    48.25%    342
    Aurora       48.20%    612
    Singed       48.17%    164
    Samira       48.16%   1277
    Kindred      48.13%    721
    Nautilus     48.10%   2582
    Ornn         48.10%    237
    Viego        47.98%   2847
    Poppy        47.98%    963
    MissFortune  47.92%   3750
    Taric        47.88%    236
    Jinx         47.68%   4220
    Twitch       47.68%   1076
    Akshan       47.64%    615
    KSante       47.64%    275
    Kaisa        47.62%   4147
    Lulu         47.59%   2202
    Kayn         47.53%   2003
    Seraphine    47.50%   1059
    Zeri         47.50%    899
    Graves       47.49%   2215
    Jhin         47.49%   4795
    Swain        47.35%   1151
    Kassadin     47.35%    245
    Ambessa      47.33%    374
    TwistedFate  47.30%   1131
    Fizz         47.25%    783
    Velkoz       47.20%    750
    RekSai       47.19%    231
    Ryze         47.18%    479
    Rumble       47.15%  50503
    Malzahar     47.12%   1233
    Viktor       47.12%   1267
    Caitlyn      47.11%   4785
    Maokai       47.10%    724
    Jax          47.05%    916
    Yasuo        47.00%   3904
    Tristana     46.98%   2182
    Kennen       46.94%    196
    Lux          46.89%   3587
    Annie        46.86%    525
    Lucian       46.85%   2969
    JarvanIV     46.84%   1900
    Zyra         46.83%   1089
    Kayle        46.82%    299
    Diana        46.75%   1523
    Karma        46.65%   1612
    Yone         46.65%   3728
    Sylas        46.64%   2453
    Olaf         46.62%    148
    Kalista      46.61%    472
    Janna        46.58%    511
    Ziggs        46.56%    509
    Belveth      46.53%    389
    LeeSin       46.45%   4396
    Leblanc      46.44%   1109
    Teemo        46.37%    882
    Shen         46.33%    613
    Shaco        46.26%   1738
    Ahri         46.25%   1762
    Sion         46.25%    614
    Rakan        46.24%    932
    Orianna      46.17%    823
    Hwei         46.15%    923
    Smolder      46.14%   2562
    Akali        46.12%   1329
    Xerath       46.00%   1863
    Neeko        46.00%    800
    XinZhao      45.99%   1522
    Draven       45.94%    923
    Aatrox       45.89%    767
    Anivia       45.89%    401
    Malphite     45.85%   1182
    Ashe         45.85%   2942
    Zed          45.72%   3887
    Vex          45.60%    671
    Jayce        45.57%    836
    Renata       45.54%    303
    Mel          45.53%   1623
    Karthus      45.52%    290
    Morgana      45.50%   1721
    Lissandra    45.45%    528
    Talon        45.44%   1437
    TahmKench    45.41%    969
    Corki        45.40%    848
    Yuumi        45.38%   1386
    Xayah        45.35%   1193
    Zoe          45.29%    563
    Katarina     45.01%    902
    Vi           44.93%   1676
    Hecarim      44.77%    679
    Varus        44.70%   1821
    Darius       44.63%    968
    Yunara       44.62%    641
    Veigar       44.47%   1158
    Mordekaiser  44.29%    560
    Sejuani      44.10%    687
    Nidalee      44.04%    579
    AurelionSol  44.00%    500
    Skarner      43.87%    408
    Pyke         43.72%   1775
    Ezreal       43.65%   4983
    Lillia       43.64%    637
    Ivern        43.50%    200
    Camille      43.44%    320
    Evelynn      43.30%    358
    Gragas       43.27%    520
    Nunu         43.11%    450
    Riven        42.62%    305
    Udyr         42.55%    423
    Azir         42.12%    520
    Elise        42.05%    528
    Qiyana       40.89%    741
    Gnar         39.19%    222
    Rengar       38.15%    422


# Ryze
                  win%   matches
    Vex          56.11%    319
    Nilah        55.72%    691
    Kassadin     54.47%    123
    Akshan       53.96%    417
    Ziggs        53.73%    590
    Braum        53.62%   2057
    Briar        53.47%   1627
    Kayn         53.40%   3511
    Viktor       53.08%    601
    Rell         53.04%   1446
    Irelia       52.86%   1536
    Mordekaiser  52.80%   2038
    Ornn         52.77%   1010
    Xerath       52.75%   1930
    Sivir        52.58%   2227
    Naafiri      52.57%   1615
    TwistedFate  52.48%    524
    Warwick      52.34%   3078
    Sett         52.34%   2975
    Nocturne     52.24%   3302
    Leona        52.19%   2667
    Janna        52.17%    943
    Milio        52.07%   1790
    Bard         52.04%   1055
    Nami         51.98%   2909
    Azir         51.97%    229
    Taric        51.97%    458
    Renekton     51.92%   1982
    Renata       51.89%    449
    Yorick       51.84%   1956
    Vayne        51.80%   2973
    Urgot        51.76%    935
    Vladimir     51.68%    625
    Nunu         51.63%    891
    Vi           51.62%   2346
    MissFortune  51.60%   5023
    Illaoi       51.58%    983
    Amumu        51.52%   1708
    Rakan        51.41%   1352
    Trundle      51.25%   2281
    Kayle        51.14%    964
    Jhin         51.12%   6756
    Jinx         51.11%   6132
    Poppy        51.08%   1672
    JarvanIV     51.08%   2324
    Malzahar     51.05%    668
    Maokai       51.02%   1221
    Heimerdinger 50.88%    625
    Diana        50.85%   1884
    Swain        50.84%   1660
    Qiyana       50.83%    423
    Nasus        50.83%   1753
    Fizz         50.82%    364
    MonkeyKing   50.79%   1890
    Tryndamere   50.77%   1162
    MasterYi     50.77%   2868
    Riven        50.77%   1111
    Viego        50.72%   4675
    Garen        50.69%   2397
    Kled         50.67%    450
    Sona         50.66%    839
    Yone         50.66%   2900
    Pyke         50.65%   2614
    Fiora        50.64%   1088
    Morgana      50.60%   2666
    Malphite     50.57%   2276
    Lux          50.52%   4582
    Gangplank    50.48%   1034
    Lulu         50.46%   3500
    Samira       50.45%   1897
    Karma        50.42%   2475
    Ashe         50.42%   4173
    LeeSin       50.42%   6248
    Caitlyn      50.41%   6895
    Gwen         50.41%   1099
    Khazix       50.36%   2490
    KogMaw       50.32%    777
    Zilean       50.31%    817
